strata,description,land size,year,land,building,total value
12,residential,5969,1995,1015000,423000,1438000
12,residential,6805,1995,1045000,423000,1468000
12,residential,6997,1997,1054000,368000,1422000
12,residential,7578,1997,1085000,500000,1585000
12,townhouse,1099,1994,563000,0,563000
12,residential,6059,1991,872000,346000,1218000
12,residential,7084,1992,921000,340000,1261000
12,residential,5990,1991,886000,33800,919800
12,residential,6799,1992,908000,271000,1179000
12,residential,5016,1991,817000,374000,1191000
12,townhouse,1406,1993,726000,0,726000
12,residential,6624,1990,900000,310000,1210000
12,residential,6021,1992,870000,380000,1250000
12,residential,5163,1988,826000,245000,1071000
12,residential,7658,1987,946000,355000,1301000
12,residential,4873,1987,810000,322000,1132000
12,residential,5690,1987,854000,286000,1140000
12,residential,6687,1987,921000,352000,1273000
12,school,6.05 Acres ,1993,2516000,4876000,7392000
12,residential,10324,1991,1049000,482000,1531000
12,residential,7997,1989,960000,283000,1243000
12,residential,6738,1992,905000,363000,1268000
12,residential,7894,1989,956000,451000,1407000
12,residential,7784,1989,951000,322000,1273000
12,residential,6642,1991,892000,289000,1181000
12,residential,9266,1990,1031000,339000,1370000
12,residential,10109,1989,1041000,255000,1296000
12,residential,6561,1985,897000,319000,1216000
12,residential,5541,1985,847000,188000,1035000
12,residential,6605,1985,917000,174000,1091000
12,residential,13009,1985,1124000,275000,1399000
12,residential,16706,1989,1263000,572000,1835000
12,residential,6783,1989,907000,301000,1208000
12,residential,9201,1988,1008000,398000,1406000
13,residential,20774,2017,1696000,1086000,2782000
13,residential,12486,2017,1492000,884000,2376000
13,residential,6319,2007,1103000,486000,1589000
13,residential,7449,2007,1167000,376000,1543000
13,residential,4962,2007,1014000,339000,1353000
13,residential,4166,2006,927000,320000,1247000
13,residential,12271,2010,1456000,768000,2224000
13,residential,4844,2008,976000,335000,1311000
13,residential,4607,2006,990000,333000,1323000
13,residential,9699,2006,1278000,465000,1743000
13,residential,6609,2006,1143000,429000,1572000
13,residential,6835,2005,1133000,426000,1559000
13,residential,6135,2005,1091000,440000,1531000
13,townhouse,1377,2006,786000,0,786000
13,townhouse,1542,2005,967000,0,967000
13,residential,4360,2005,972000,282000,1254000
13,residential,4069,2005,947000,296000,1243000
13,residential,4058,2005,946000,317000,1263000
13,residential,4230,2005,961000,305000,1266000
13,residential,4058,2005,946000,279000,1225000
13,residential,4801,2005,1004000,351000,1355000
13,residential,4456,2005,979000,369000,1348000
13,residential,4209,2005,959000,335000,1294000
13,residential,2150,2005,687000,265000,952000
13,residential,6308,2004,1102000,486000,1588000
13,residential,6093,2004,1089000,483000,1572000
13,residential,4316,2002,968000,306000,1274000
13,residential,12099,2003,1448000,731000,2179000
